
Xzone.exe:     file format pei-x86-64


Disassembly of section .text:

0000000000401000 <__mingw_invalidParameterHandler>:
  401000:	c3                   	retq   
  402860:	44 0f b7 44 10 06    	movzwl 0x6(%rax,%rdx,1),%r8d
  402866:	44 89 c0             	mov    %r8d,%eax
  402869:	48 83 c4 28          	add    $0x28,%rsp
  40286d:	c3                   	retq   
  40286e:	66 90                	xchg   %ax,%ax

0000000000402870 <_FindPESectionExec>:
  402870:	48 83 ec 28          	sub    $0x28,%rsp
  402874:	4c 8b 05 e5 1a 00 00 	mov    0x1ae5(%rip),%r8        # 404360 <.refptr.__image_base__>
  40287b:	66 41 81 38 4d 5a    	cmpw   $0x5a4d,(%r8)
  402881:	48 89 ca             	mov    %rcx,%rdx
  402884:	75 52                	jne    4028d8 <_FindPESectionExec+0x68>
  402886:	4c 89 c1             	mov    %r8,%rcx
  402889:	e8 02 fe ff ff       	callq  402690 <_ValidateImageBase.part.0>
  40288e:	85 c0                	test   %eax,%eax
  402890:	74 46                	je     4028d8 <_FindPESectionExec+0x68>
  402892:	49 63 48 3c          	movslq 0x3c(%r8),%rcx
  402896:	4c 01 c1             	add    %r8,%rcx
  402899:	0f b7 41 14          	movzwl 0x14(%rcx),%eax
  40289d:	48 8d 44 01 18       	lea    0x18(%rcx,%rax,1),%rax
  4028a2:	0f b7 49 06          	movzwl 0x6(%rcx),%ecx
  4028a6:	85 c9                	test   %ecx,%ecx
  4028a8:	74 2e                	je     4028d8 <_FindPESectionExec+0x68>
  4028aa:	83 e9 01             	sub    $0x1,%ecx
  4028ad:	48 8d 0c 89          	lea    (%rcx,%rcx,4),%rcx
  4028b1:	48 8d 4c c8 28       	lea    0x28(%rax,%rcx,8),%rcx
  4028b6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4028bd:	00 00 00 
  4028c0:	f6 40 27 20          	testb  $0x20,0x27(%rax)
  4028c4:	74 09                	je     4028cf <_FindPESectionExec+0x5f>
  4028c6:	48 85 d2             	test   %rdx,%rdx
  4028c9:	74 0f                	je     4028da <_FindPESectionExec+0x6a>
  4028cb:	48 83 ea 01          	sub    $0x1,%rdx
  4028cf:	48 83 c0 28          	add    $0x28,%rax
  4028d3:	48 39 c8             	cmp    %rcx,%rax
  4028d6:	75 e8                	jne    4028c0 <_FindPESectionExec+0x50>
  4028d8:	31 c0                	xor    %eax,%eax
  4028da:	48 83 c4 28          	add    $0x28,%rsp
  4028de:	c3                   	retq   
  4028df:	90                   	nop

00000000004028e0 <_GetPEImageBase>:
  4028e0:	48 83 ec 28          	sub    $0x28,%rsp
  4028e4:	48 8b 15 75 1a 00 00 	mov    0x1a75(%rip),%rdx        # 404360 <.refptr.__image_base__>
  4028eb:	66 81 3a 4d 5a       	cmpw   $0x5a4d,(%rdx)
  4028f0:	75 1e                	jne    402910 <_GetPEImageBase+0x30>
  4028f2:	48 89 d1             	mov    %rdx,%rcx
  4028f5:	e8 96 fd ff ff       	callq  402690 <_ValidateImageBase.part.0>
  4028fa:	85 c0                	test   %eax,%eax
  4028fc:	b8 00 00 00 00       	mov    $0x0,%eax
  402901:	48 0f 45 c2          	cmovne %rdx,%rax
  402905:	48 83 c4 28          	add    $0x28,%rsp
  402909:	c3                   	retq   
  40290a:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  402910:	31 c0                	xor    %eax,%eax
  402912:	48 83 c4 28          	add    $0x28,%rsp
  402916:	c3                   	retq   
  402917:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
  40291e:	00 00 

0000000000402920 <_IsNonwritableInCurrentImage>:
  402920:	48 83 ec 28          	sub    $0x28,%rsp
  402924:	4c 8b 05 35 1a 00 00 	mov    0x1a35(%rip),%r8        # 404360 <.refptr.__image_base__>
  40292b:	31 c0                	xor    %eax,%eax
  40292d:	66 41 81 38 4d 5a    	cmpw   $0x5a4d,(%r8)
  402933:	48 89 ca             	mov    %rcx,%rdx
  402936:	74 08                	je     402940 <_IsNonwritableInCurrentImage+0x20>
  402938:	48 83 c4 28          	add    $0x28,%rsp
  40293c:	c3                   	retq   
  40293d:	0f 1f 00             	nopl   (%rax)
  402940:	4c 89 c1             	mov    %r8,%rcx
  402943:	e8 48 fd ff ff       	callq  402690 <_ValidateImageBase.part.0>
  402948:	85 c0                	test   %eax,%eax
  40294a:	74 ec                	je     402938 <_IsNonwritableInCurrentImage+0x18>
  40294c:	49 63 40 3c          	movslq 0x3c(%r8),%rax
  402950:	48 89 d1             	mov    %rdx,%rcx
  402953:	4c 29 c1             	sub    %r8,%rcx
  402956:	49 01 c0             	add    %rax,%r8
  402959:	41 0f b7 50 06       	movzwl 0x6(%r8),%edx
  40295e:	41 0f b7 40 14       	movzwl 0x14(%r8),%eax
  402963:	85 d2                	test   %edx,%edx
  402965:	49 8d 44 00 18       	lea    0x18(%r8,%rax,1),%rax
  40296a:	74 31                	je     40299d <_IsNonwritableInCurrentImage+0x7d>
  40296c:	83 ea 01             	sub    $0x1,%edx
  40296f:	48 8d 14 92          	lea    (%rdx,%rdx,4),%rdx
  402973:	4c 8d 4c d0 28       	lea    0x28(%rax,%rdx,8),%r9
  402978:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40297f:	00 
  402980:	44 8b 40 0c          	mov    0xc(%rax),%r8d
  402984:	4c 39 c1             	cmp    %r8,%rcx
  402987:	4c 89 c2             	mov    %r8,%rdx
  40298a:	72 08                	jb     402994 <_IsNonwritableInCurrentImage+0x74>
  40298c:	03 50 08             	add    0x8(%rax),%edx
  40298f:	48 39 d1             	cmp    %rdx,%rcx
  402992:	72 10                	jb     4029a4 <_IsNonwritableInCurrentImage+0x84>
  402994:	48 83 c0 28          	add    $0x28,%rax
  402998:	4c 39 c8             	cmp    %r9,%rax
  40299b:	75 e3                	jne    402980 <_IsNonwritableInCurrentImage+0x60>
  40299d:	31 c0                	xor    %eax,%eax
  40299f:	48 83 c4 28          	add    $0x28,%rsp
  4029a3:	c3                   	retq   
  4029a4:	8b 40 24             	mov    0x24(%rax),%eax
  4029a7:	f7 d0                	not    %eax
  4029a9:	c1 e8 1f             	shr    $0x1f,%eax
  4029ac:	48 83 c4 28          	add    $0x28,%rsp
  4029b0:	c3                   	retq   
  4029b1:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  4029b6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4029bd:	00 00 00 

00000000004029c0 <__mingw_enum_import_library_names>:
  4029c0:	48 83 ec 28          	sub    $0x28,%rsp
  4029c4:	4c 8b 1d 95 19 00 00 	mov    0x1995(%rip),%r11        # 404360 <.refptr.__image_base__>
  4029cb:	66 41 81 3b 4d 5a    	cmpw   $0x5a4d,(%r11)
  4029d1:	41 89 c9             	mov    %ecx,%r9d
  4029d4:	75 58                	jne    402a2e <__mingw_enum_import_library_names+0x6e>
  4029d6:	4c 89 d9             	mov    %r11,%rcx
  4029d9:	e8 b2 fc ff ff       	callq  402690 <_ValidateImageBase.part.0>
  4029de:	85 c0                	test   %eax,%eax
  4029e0:	74 4c                	je     402a2e <__mingw_enum_import_library_names+0x6e>
  4029e2:	49 63 43 3c          	movslq 0x3c(%r11),%rax
  4029e6:	4c 01 d8             	add    %r11,%rax
  4029e9:	8b 90 90 00 00 00    	mov    0x90(%rax),%edx
  4029ef:	85 d2                	test   %edx,%edx
  4029f1:	74 3b                	je     402a2e <__mingw_enum_import_library_names+0x6e>
  4029f3:	0f b7 48 14          	movzwl 0x14(%rax),%ecx
  4029f7:	48 8d 4c 08 18       	lea    0x18(%rax,%rcx,1),%rcx
  4029fc:	0f b7 40 06          	movzwl 0x6(%rax),%eax
  402a00:	85 c0                	test   %eax,%eax
  402a02:	74 2a                	je     402a2e <__mingw_enum_import_library_names+0x6e>
  402a04:	83 e8 01             	sub    $0x1,%eax
  402a07:	48 8d 04 80          	lea    (%rax,%rax,4),%rax
  402a0b:	48 8d 44 c1 28       	lea    0x28(%rcx,%rax,8),%rax
  402a10:	44 8b 51 0c          	mov    0xc(%rcx),%r10d
  402a14:	4c 39 d2             	cmp    %r10,%rdx
  402a17:	4d 89 d0             	mov    %r10,%r8
  402a1a:	72 09                	jb     402a25 <__mingw_enum_import_library_names+0x65>
  402a1c:	44 03 41 08          	add    0x8(%rcx),%r8d
  402a20:	4c 39 c2             	cmp    %r8,%rdx
  402a23:	72 10                	jb     402a35 <__mingw_enum_import_library_names+0x75>
  402a25:	48 83 c1 28          	add    $0x28,%rcx
  402a29:	48 39 c1             	cmp    %rax,%rcx
  402a2c:	75 e2                	jne    402a10 <__mingw_enum_import_library_names+0x50>
  402a2e:	31 c0                	xor    %eax,%eax
  402a30:	48 83 c4 28          	add    $0x28,%rsp
  402a34:	c3                   	retq   
  402a35:	4c 01 da             	add    %r11,%rdx
  402a38:	75 0e                	jne    402a48 <__mingw_enum_import_library_names+0x88>
  402a3a:	eb f2                	jmp    402a2e <__mingw_enum_import_library_names+0x6e>
  402a3c:	0f 1f 40 00          	nopl   0x0(%rax)
  402a40:	41 83 e9 01          	sub    $0x1,%r9d
  402a44:	48 83 c2 14          	add    $0x14,%rdx
  402a48:	8b 4a 04             	mov    0x4(%rdx),%ecx
  402a4b:	85 c9                	test   %ecx,%ecx
  402a4d:	75 07                	jne    402a56 <__mingw_enum_import_library_names+0x96>
  402a4f:	8b 42 0c             	mov    0xc(%rdx),%eax
  402a52:	85 c0                	test   %eax,%eax
  402a54:	74 d8                	je     402a2e <__mingw_enum_import_library_names+0x6e>
  402a56:	45 85 c9             	test   %r9d,%r9d
  402a59:	7f e5                	jg     402a40 <__mingw_enum_import_library_names+0x80>
  402a5b:	8b 42 0c             	mov    0xc(%rdx),%eax
  402a5e:	4c 01 d8             	add    %r11,%rax
  402a61:	48 83 c4 28          	add    $0x28,%rsp
  402a65:	c3                   	retq   
  402a66:	90                   	nop
  402a67:	90                   	nop
  402a68:	90                   	nop
  402a69:	90                   	nop
  402a6a:	90                   	nop
  402a6b:	90                   	nop
  402a6c:	90                   	nop
  402a6d:	90                   	nop
  402a6e:	90                   	nop
  402a6f:	90                   	nop

0000000000402a70 <___chkstk_ms>:
  402a70:	51                   	push   %rcx
  402a71:	50                   	push   %rax
  402a72:	48 3d 00 10 00 00    	cmp    $0x1000,%rax
  402a78:	48 8d 4c 24 18       	lea    0x18(%rsp),%rcx
  402a7d:	72 19                	jb     402a98 <___chkstk_ms+0x28>
  402a7f:	48 81 e9 00 10 00 00 	sub    $0x1000,%rcx
  402a86:	48 83 09 00          	orq    $0x0,(%rcx)
  402a8a:	48 2d 00 10 00 00    	sub    $0x1000,%rax
  402a90:	48 3d 00 10 00 00    	cmp    $0x1000,%rax
  402a96:	77 e7                	ja     402a7f <___chkstk_ms+0xf>
  402a98:	48 29 c1             	sub    %rax,%rcx
  402a9b:	48 83 09 00          	orq    $0x0,(%rcx)
  402a9f:	58                   	pop    %rax
  402aa0:	59                   	pop    %rcx
  402aa1:	c3                   	retq   
  402aa2:	90                   	nop
  402aa3:	90                   	nop
  402aa4:	90                   	nop
  402aa5:	90                   	nop
  402aa6:	90                   	nop
  402aa7:	90                   	nop
  402aa8:	90                   	nop
  402aa9:	90                   	nop
  402aaa:	90                   	nop
  402aab:	90                   	nop
  402aac:	90                   	nop
  402aad:	90                   	nop
  402aae:	90                   	nop
  402aaf:	90                   	nop

0000000000402ab0 <vfprintf>:
  402ab0:	ff 25 d6 58 00 00    	jmpq   *0x58d6(%rip)        # 40838c <__imp_vfprintf>
  402ab6:	90                   	nop
  402ab7:	90                   	nop

0000000000402ab8 <strncmp>:
  402ab8:	ff 25 c6 58 00 00    	jmpq   *0x58c6(%rip)        # 408384 <__imp_strncmp>
  402abe:	90                   	nop
  402abf:	90                   	nop

0000000000402ac0 <strlen>:
  402ac0:	ff 25 b6 58 00 00    	jmpq   *0x58b6(%rip)        # 40837c <__imp_strlen>
  402ac6:	90                   	nop
  402ac7:	90                   	nop

0000000000402ac8 <signal>:
  402ac8:	ff 25 a6 58 00 00    	jmpq   *0x58a6(%rip)        # 408374 <__imp_signal>
  402ace:	90                   	nop
  402acf:	90                   	nop

0000000000402ad0 <setbuf>:
  402ad0:	ff 25 96 58 00 00    	jmpq   *0x5896(%rip)        # 40836c <__imp_setbuf>
  402ad6:	90                   	nop
  402ad7:	90                   	nop

0000000000402ad8 <scanf>:
  402ad8:	ff 25 86 58 00 00    	jmpq   *0x5886(%rip)        # 408364 <__imp_scanf>
  402ade:	90                   	nop
  402adf:	90                   	nop

0000000000402ae0 <puts>:
  402ae0:	ff 25 76 58 00 00    	jmpq   *0x5876(%rip)        # 40835c <__imp_puts>
  402ae6:	90                   	nop
  402ae7:	90                   	nop

0000000000402ae8 <printf>:
  402ae8:	ff 25 66 58 00 00    	jmpq   *0x5866(%rip)        # 408354 <__imp_printf>
  402aee:	90                   	nop
  402aef:	90                   	nop

0000000000402af0 <memcpy>:
  402af0:	ff 25 56 58 00 00    	jmpq   *0x5856(%rip)        # 40834c <__imp_memcpy>
  402af6:	90                   	nop
  402af7:	90                   	nop

0000000000402af8 <malloc>:
  402af8:	ff 25 46 58 00 00    	jmpq   *0x5846(%rip)        # 408344 <__imp_malloc>
  402afe:	90                   	nop
  402aff:	90                   	nop

0000000000402b00 <fwrite>:
  402b00:	ff 25 36 58 00 00    	jmpq   *0x5836(%rip)        # 40833c <__imp_fwrite>
  402b06:	90                   	nop
  402b07:	90                   	nop

0000000000402b08 <free>:
  402b08:	ff 25 26 58 00 00    	jmpq   *0x5826(%rip)        # 408334 <__imp_free>
  402b0e:	90                   	nop
  402b0f:	90                   	nop

0000000000402b10 <fprintf>:
  402b10:	ff 25 16 58 00 00    	jmpq   *0x5816(%rip)        # 40832c <__imp_fprintf>
  402b16:	90                   	nop
  402b17:	90                   	nop

0000000000402b18 <exit>:
  402b18:	ff 25 06 58 00 00    	jmpq   *0x5806(%rip)        # 408324 <__imp_exit>
  402b1e:	90                   	nop
  402b1f:	90                   	nop

0000000000402b20 <calloc>:
  402b20:	ff 25 f6 57 00 00    	jmpq   *0x57f6(%rip)        # 40831c <__imp_calloc>
  402b26:	90                   	nop
  402b27:	90                   	nop

0000000000402b28 <abort>:
  402b28:	ff 25 e6 57 00 00    	jmpq   *0x57e6(%rip)        # 408314 <__imp_abort>
  402b2e:	90                   	nop
  402b2f:	90                   	nop

0000000000402b30 <_onexit>:
  402b30:	ff 25 d6 57 00 00    	jmpq   *0x57d6(%rip)        # 40830c <__imp__onexit>
  402b36:	90                   	nop
  402b37:	90                   	nop

0000000000402b38 <_initterm>:
  402b38:	ff 25 c6 57 00 00    	jmpq   *0x57c6(%rip)        # 408304 <__imp__initterm>
  402b3e:	90                   	nop
  402b3f:	90                   	nop

0000000000402b40 <_cexit>:
  402b40:	ff 25 ae 57 00 00    	jmpq   *0x57ae(%rip)        # 4082f4 <__imp__cexit>
  402b46:	90                   	nop
  402b47:	90                   	nop

0000000000402b48 <_amsg_exit>:
  402b48:	ff 25 9e 57 00 00    	jmpq   *0x579e(%rip)        # 4082ec <__imp__amsg_exit>
  402b4e:	90                   	nop
  402b4f:	90                   	nop

0000000000402b50 <__setusermatherr>:
  402b50:	ff 25 86 57 00 00    	jmpq   *0x5786(%rip)        # 4082dc <__imp___setusermatherr>
  402b56:	90                   	nop
  402b57:	90                   	nop

0000000000402b58 <__set_app_type>:
  402b58:	ff 25 76 57 00 00    	jmpq   *0x5776(%rip)        # 4082d4 <__imp___set_app_type>
  402b5e:	90                   	nop
  402b5f:	90                   	nop

0000000000402b60 <__lconv_init>:
  402b60:	ff 25 66 57 00 00    	jmpq   *0x5766(%rip)        # 4082cc <__imp___lconv_init>
  402b66:	90                   	nop
  402b67:	90                   	nop

0000000000402b68 <__getmainargs>:
  402b68:	ff 25 46 57 00 00    	jmpq   *0x5746(%rip)        # 4082b4 <__imp___getmainargs>
  402b6e:	90                   	nop
  402b6f:	90                   	nop

0000000000402b70 <__C_specific_handler>:
  402b70:	ff 25 36 57 00 00    	jmpq   *0x5736(%rip)        # 4082ac <__imp___C_specific_handler>
  402b76:	90                   	nop
  402b77:	90                   	nop
  402b78:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  402b7f:	00 

0000000000402b80 <__acrt_iob_func>:
  402b80:	53                   	push   %rbx
  402b81:	48 83 ec 20          	sub    $0x20,%rsp
  402b85:	89 cb                	mov    %ecx,%ebx
  402b87:	e8 54 00 00 00       	callq  402be0 <__iob_func>
  402b8c:	89 d9                	mov    %ebx,%ecx
  402b8e:	48 8d 14 49          	lea    (%rcx,%rcx,2),%rdx
  402b92:	48 c1 e2 04          	shl    $0x4,%rdx
  402b96:	48 01 d0             	add    %rdx,%rax
  402b99:	48 83 c4 20          	add    $0x20,%rsp
  402b9d:	5b                   	pop    %rbx
  402b9e:	c3                   	retq   
  402b9f:	90                   	nop

0000000000402ba0 <_get_invalid_parameter_handler>:
  402ba0:	48 8b 05 a9 4d 00 00 	mov    0x4da9(%rip),%rax        # 407950 <handler>
  402ba7:	c3                   	retq   
  402ba8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  402baf:	00 

0000000000402bb0 <_set_invalid_parameter_handler>:
  402bb0:	48 89 c8             	mov    %rcx,%rax
  402bb3:	48 87 05 96 4d 00 00 	xchg   %rax,0x4d96(%rip)        # 407950 <handler>
  402bba:	c3                   	retq   
  402bbb:	90                   	nop
  402bbc:	90                   	nop
  402bbd:	90                   	nop
  402bbe:	90                   	nop
  402bbf:	90                   	nop

0000000000402bc0 <__p__acmdln>:
  402bc0:	48 8b 05 b9 17 00 00 	mov    0x17b9(%rip),%rax        # 404380 <.refptr.__imp__acmdln>
  402bc7:	48 8b 00             	mov    (%rax),%rax
  402bca:	c3                   	retq   
  402bcb:	90                   	nop
  402bcc:	90                   	nop
  402bcd:	90                   	nop
  402bce:	90                   	nop
  402bcf:	90                   	nop

0000000000402bd0 <__p__fmode>:
  402bd0:	48 8b 05 b9 17 00 00 	mov    0x17b9(%rip),%rax        # 404390 <.refptr.__imp__fmode>
  402bd7:	48 8b 00             	mov    (%rax),%rax
  402bda:	c3                   	retq   
  402bdb:	90                   	nop
  402bdc:	90                   	nop
  402bdd:	90                   	nop
  402bde:	90                   	nop
  402bdf:	90                   	nop

0000000000402be0 <__iob_func>:
  402be0:	ff 25 de 56 00 00    	jmpq   *0x56de(%rip)        # 4082c4 <__imp___iob_func>
  402be6:	90                   	nop
  402be7:	90                   	nop
  402be8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  402bef:	00 

0000000000402bf0 <VirtualQuery>:
  402bf0:	ff 25 a6 56 00 00    	jmpq   *0x56a6(%rip)        # 40829c <__imp_VirtualQuery>
  402bf6:	90                   	nop
  402bf7:	90                   	nop

0000000000402bf8 <VirtualProtect>:
  402bf8:	ff 25 96 56 00 00    	jmpq   *0x5696(%rip)        # 408294 <__imp_VirtualProtect>
  402bfe:	90                   	nop
  402bff:	90                   	nop

0000000000402c00 <UnhandledExceptionFilter>:
  402c00:	ff 25 86 56 00 00    	jmpq   *0x5686(%rip)        # 40828c <__imp_UnhandledExceptionFilter>
  402c06:	90                   	nop
  402c07:	90                   	nop

0000000000402c08 <TlsGetValue>:
  402c08:	ff 25 76 56 00 00    	jmpq   *0x5676(%rip)        # 408284 <__imp_TlsGetValue>
  402c0e:	90                   	nop
  402c0f:	90                   	nop

0000000000402c10 <TerminateProcess>:
  402c10:	ff 25 66 56 00 00    	jmpq   *0x5666(%rip)        # 40827c <__imp_TerminateProcess>
  402c16:	90                   	nop
  402c17:	90                   	nop

0000000000402c18 <Sleep>:
  402c18:	ff 25 56 56 00 00    	jmpq   *0x5656(%rip)        # 408274 <__imp_Sleep>
  402c1e:	90                   	nop
  402c1f:	90                   	nop

0000000000402c20 <SetUnhandledExceptionFilter>:
  402c20:	ff 25 46 56 00 00    	jmpq   *0x5646(%rip)        # 40826c <__imp_SetUnhandledExceptionFilter>
  402c26:	90                   	nop
  402c27:	90                   	nop

0000000000402c28 <RtlVirtualUnwind>:
  402c28:	ff 25 36 56 00 00    	jmpq   *0x5636(%rip)        # 408264 <__imp_RtlVirtualUnwind>
  402c2e:	90                   	nop
  402c2f:	90                   	nop

0000000000402c30 <RtlLookupFunctionEntry>:
  402c30:	ff 25 26 56 00 00    	jmpq   *0x5626(%rip)        # 40825c <__imp_RtlLookupFunctionEntry>
  402c36:	90                   	nop
  402c37:	90                   	nop

0000000000402c38 <RtlCaptureContext>:
  402c38:	ff 25 16 56 00 00    	jmpq   *0x5616(%rip)        # 408254 <__imp_RtlCaptureContext>
  402c3e:	90                   	nop
  402c3f:	90                   	nop

0000000000402c40 <RtlAddFunctionTable>:
  402c40:	ff 25 06 56 00 00    	jmpq   *0x5606(%rip)        # 40824c <__imp_RtlAddFunctionTable>
  402c46:	90                   	nop
  402c47:	90                   	nop

0000000000402c48 <QueryPerformanceCounter>:
  402c48:	ff 25 f6 55 00 00    	jmpq   *0x55f6(%rip)        # 408244 <__imp_QueryPerformanceCounter>
  402c4e:	90                   	nop
  402c4f:	90                   	nop

0000000000402c50 <LeaveCriticalSection>:
  402c50:	ff 25 e6 55 00 00    	jmpq   *0x55e6(%rip)        # 40823c <__imp_LeaveCriticalSection>
  402c56:	90                   	nop
  402c57:	90                   	nop

0000000000402c58 <InitializeCriticalSection>:
  402c58:	ff 25 d6 55 00 00    	jmpq   *0x55d6(%rip)        # 408234 <__imp_InitializeCriticalSection>
  402c5e:	90                   	nop
  402c5f:	90                   	nop

0000000000402c60 <GetTickCount>:
  402c60:	ff 25 c6 55 00 00    	jmpq   *0x55c6(%rip)        # 40822c <__imp_GetTickCount>
  402c66:	90                   	nop
  402c67:	90                   	nop

0000000000402c68 <GetSystemTimeAsFileTime>:
  402c68:	ff 25 b6 55 00 00    	jmpq   *0x55b6(%rip)        # 408224 <__imp_GetSystemTimeAsFileTime>
  402c6e:	90                   	nop
  402c6f:	90                   	nop

0000000000402c70 <GetStartupInfoA>:
  402c70:	ff 25 a6 55 00 00    	jmpq   *0x55a6(%rip)        # 40821c <__imp_GetStartupInfoA>
  402c76:	90                   	nop
  402c77:	90                   	nop

0000000000402c78 <GetLastError>:
  402c78:	ff 25 96 55 00 00    	jmpq   *0x5596(%rip)        # 408214 <__imp_GetLastError>
  402c7e:	90                   	nop
  402c7f:	90                   	nop

0000000000402c80 <GetCurrentThreadId>:
  402c80:	ff 25 86 55 00 00    	jmpq   *0x5586(%rip)        # 40820c <__imp_GetCurrentThreadId>
  402c86:	90                   	nop
  402c87:	90                   	nop

0000000000402c88 <GetCurrentProcessId>:
  402c88:	ff 25 76 55 00 00    	jmpq   *0x5576(%rip)        # 408204 <__imp_GetCurrentProcessId>
  402c8e:	90                   	nop
  402c8f:	90                   	nop

0000000000402c90 <GetCurrentProcess>:
  402c90:	ff 25 66 55 00 00    	jmpq   *0x5566(%rip)        # 4081fc <__imp_GetCurrentProcess>
  402c96:	90                   	nop
  402c97:	90                   	nop

0000000000402c98 <EnterCriticalSection>:
  402c98:	ff 25 56 55 00 00    	jmpq   *0x5556(%rip)        # 4081f4 <__imp_EnterCriticalSection>
  402c9e:	90                   	nop
  402c9f:	90                   	nop

0000000000402ca0 <DeleteCriticalSection>:
  402ca0:	ff 25 46 55 00 00    	jmpq   *0x5546(%rip)        # 4081ec <__IAT_start__>
  402ca6:	90                   	nop
  402ca7:	90                   	nop
  402ca8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  402caf:	00 

0000000000402cb0 <__report_error>:
  402cb0:	56                   	push   %rsi
  402cb1:	53                   	push   %rbx
  402cb2:	48 83 ec 38          	sub    $0x38,%rsp
  402cb6:	48 8d 44 24 58       	lea    0x58(%rsp),%rax
  402cbb:	48 89 cb             	mov    %rcx,%rbx
  402cbe:	b9 02 00 00 00       	mov    $0x2,%ecx
  402cc3:	48 89 54 24 58       	mov    %rdx,0x58(%rsp)
  402cc8:	4c 89 44 24 60       	mov    %r8,0x60(%rsp)
  402ccd:	4c 89 4c 24 68       	mov    %r9,0x68(%rsp)
  402cd2:	48 89 44 24 28       	mov    %rax,0x28(%rsp)
  402cd7:	e8 a4 fe ff ff       	callq  402b80 <__acrt_iob_func>
  402cdc:	41 b8 1b 00 00 00    	mov    $0x1b,%r8d
  402ce2:	ba 01 00 00 00       	mov    $0x1,%edx
  402ce7:	48 8d 0d f2 14 00 00 	lea    0x14f2(%rip),%rcx        # 4041e0 <.rdata>
  402cee:	49 89 c1             	mov    %rax,%r9
  402cf1:	e8 0a fe ff ff       	callq  402b00 <fwrite>
  402cf6:	48 8b 74 24 28       	mov    0x28(%rsp),%rsi
  402cfb:	b9 02 00 00 00       	mov    $0x2,%ecx
  402d00:	e8 7b fe ff ff       	callq  402b80 <__acrt_iob_func>
  402d05:	48 89 da             	mov    %rbx,%rdx
  402d08:	48 89 c1             	mov    %rax,%rcx
  402d0b:	49 89 f0             	mov    %rsi,%r8
  402d0e:	e8 9d fd ff ff       	callq  402ab0 <vfprintf>
  402d13:	e8 10 fe ff ff       	callq  402b28 <abort>
  402d18:	90                   	nop
  402d19:	90                   	nop
  402d1a:	90                   	nop
  402d1b:	90                   	nop
  402d1c:	90                   	nop
  402d1d:	90                   	nop
  402d1e:	90                   	nop
  402d1f:	90                   	nop

0000000000402d20 <register_frame_ctor>:
  402d20:	e9 0b e8 ff ff       	jmpq   401530 <__gcc_register_frame>
  402d25:	90                   	nop
  402d26:	90                   	nop
  402d27:	90                   	nop
  402d28:	90                   	nop
  402d29:	90                   	nop
  402d2a:	90                   	nop
  402d2b:	90                   	nop
  402d2c:	90                   	nop
  402d2d:	90                   	nop
  402d2e:	90                   	nop
  402d2f:	90                   	nop

0000000000402d30 <__CTOR_LIST__>:
  402d30:	ff                   	(bad)  
  402d31:	ff                   	(bad)  
  402d32:	ff                   	(bad)  
  402d33:	ff                   	(bad)  
  402d34:	ff                   	(bad)  
  402d35:	ff                   	(bad)  
  402d36:	ff                   	(bad)  
  402d37:	ff                   	.byte 0xff

0000000000402d38 <.ctors.65535>:
  402d38:	20 2d 40 00 00 00    	and    %ch,0x40(%rip)        # 402d7e <__DTOR_LIST__+0x36>
	...

0000000000402d48 <__DTOR_LIST__>:
  402d48:	ff                   	(bad)  
  402d49:	ff                   	(bad)  
  402d4a:	ff                   	(bad)  
  402d4b:	ff                   	(bad)  
  402d4c:	ff                   	(bad)  
  402d4d:	ff                   	(bad)  
  402d4e:	ff                   	(bad)  
  402d4f:	ff 00                	incl   (%rax)
  402d51:	00 00                	add    %al,(%rax)
  402d53:	00 00                	add    %al,(%rax)
  402d55:	00 00                	add    %al,(%rax)
	...
