YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
Feb 2020,Redfern,5540,13490,5060,5030,12740,6240,3450,3400,26790,28160,-33.892099,151.198839
May 2020,Redfern,1150,2640,1340,1160,2750,1570,840,720,6080,6090,-33.892099,151.198839
Sep 2020,Redfern,2430,5700,2730,3130,6040,3160,2020,1610,13220,13600,-33.892099,151.198839
2016,Regents Park,450,450,270,170,430,400,90,170,1240,1190,-33.883238,151.023891
2017,Regents Park,500,460,260,180,490,510,110,170,1360,1320,-33.883238,151.023891
2018,Regents Park,490,480,280,200,520,480,140,210,1430,1370,-33.883238,151.023891
2019,Regents Park,500,500,320,260,540,510,180,220,1540,1490,-33.883238,151.023891
Feb 2020,Regents Park,470,510,300,250,500,480,200,230,1470,1470,-33.883238,151.023891
May 2020,Regents Park,110,250,160,130,230,170,100,70,600,620,-33.883238,151.023891
Sep 2020,Regents Park,280,360,230,170,360,300,100,100,970,930,-33.883238,151.023891
2016,Revesby,2640,340,690,570,510,2310,350,860,4190,4080,-33.952529,151.015329
2017,Revesby,2730,350,690,640,550,2440,370,800,4340,4230,-33.952529,151.015329
2018,Revesby,3100,410,860,710,640,2810,460,1070,5060,5000,-33.952529,151.015329
2019,Revesby,3200,470,860,780,680,2820,510,1060,5250,5130,-33.952529,151.015329
Feb 2020,Revesby,3200,450,810,690,640,2780,520,1120,5170,5040,-33.952529,151.015329
May 2020,Revesby,500,180,250,220,220,590,190,140,1160,1130,-33.952529,151.015329
Sep 2020,Revesby,1180,330,490,390,420,1220,320,410,2410,2350,-33.952529,151.015329
2016,Rhodes,3470,2790,1810,1110,3200,2840,670,2060,9150,8800,-33.830606,151.087040
2017,Rhodes,4150,2890,1970,1180,3340,3430,710,2310,10170,9810,-33.830606,151.087040
2018,Rhodes,4720,2910,2190,1260,3470,3880,800,2610,11180,10660,-33.830606,151.087040
2019,Rhodes,5280,3140,2210,1410,3730,4620,890,2560,12110,11730,-33.830606,151.087040
Feb 2020,Rhodes,4960,3350,1670,1310,3690,4170,950,2270,11270,11100,-33.830606,151.087040
May 2020,Rhodes,710,700,550,480,890,900,300,320,2450,2400,-33.830606,151.087040
Sep 2020,Rhodes,1920,1120,1090,780,1440,1910,530,960,4980,4770,-33.830606,151.087040
2016,Richmond,420,80,190,140,110,380,120,140,840,740,-33.598813,150.752282
2017,Richmond,470,90,240,170,150,410,120,160,980,830,-33.598813,150.752282
2018,Richmond,450,120,230,170,200,420,130,140,1010,850,-33.598813,150.752282
2019,Richmond,390,130,210,180,190,390,130,110,920,810,-33.598813,150.752282
Feb 2020,Richmond,400,110,200,160,140,390,120,110,860,770,-33.598813,150.752282
May 2020,Richmond,-,-,-,-,-,-,-,-,240,240,-33.598813,150.752282
Sep 2020,Richmond,150,100,120,100,110,170,80,50,460,420,-33.598813,150.752282
2016,Riverstone,440,120,120,100,140,350,70,110,770,680,-33.679559,150.860563
2017,Riverstone,520,120,150,140,150,410,70,120,890,790,-33.679559,150.860563
2018,Riverstone,620,120,160,140,160,480,90,170,1030,910,-33.679559,150.860563
2019,Riverstone,760,110,200,150,150,640,140,220,1250,1120,-33.679559,150.860563
Feb 2020,Riverstone,770,140,190,160,170,610,130,250,1260,1160,-33.679559,150.860563
May 2020,Riverstone,120,60,70,60,70,150,80,50,340,320,-33.679559,150.860563
Sep 2020,Riverstone,290,120,150,110,140,250,110,110,690,590,-33.679559,150.860563
2016,Riverwood,2730,270,770,490,520,2240,370,1060,4390,4060,-33.951536,151.052556
2017,Riverwood,2790,300,810,530,520,2340,420,1060,4540,4230,-33.951536,151.052556
2018,Riverwood,2750,260,810,540,480,2150,440,1150,4480,4100,-33.951536,151.052556
2019,Riverwood,2610,270,780,540,500,2100,450,1070,4340,3980,-33.951536,151.052556
Feb 2020,Riverwood,2410,260,660,490,480,2030,470,1010,4020,3790,-33.951536,151.052556
May 2020,Riverwood,460,110,240,200,180,520,200,150,1080,980,-33.951536,151.052556
Sep 2020,Riverwood,1000,200,440,330,290,940,290,420,2020,1890,-33.951536,151.052556
2016,Rockdale,4930,920,2460,1800,1730,4350,1170,2970,10290,10040,-33.952298,151.136683
2017,Rockdale,5190,990,2590,1870,1930,4550,1270,3090,10980,10500,-33.952298,151.136683
2018,Rockdale,5110,1000,2590,1940,2010,4670,1380,3030,11090,10640,-33.952298,151.136683
2019,Rockdale,5070,1050,2590,2020,2090,4700,1450,3120,11200,10890,-33.952298,151.136683
Feb 2020,Rockdale,4740,1060,2380,1950,2020,4410,1630,2990,10770,10410,-33.952298,151.136683
May 2020,Rockdale,1180,480,1090,980,920,1630,810,800,4000,3890,-33.952298,151.136683
Sep 2020,Rockdale,2360,720,1630,1420,1320,2570,1070,1540,6380,6250,-33.952298,151.136683
2016,Rooty Hill,1830,180,420,360,290,1680,340,520,2880,2740,-33.771658,150.844216
2017,Rooty Hill,1810,190,500,390,320,1720,370,600,3000,2900,-33.771658,150.844216
2018,Rooty Hill,2010,260,550,440,370,1950,470,620,3400,3270,-33.771658,150.844216
2019,Rooty Hill,2050,320,550,480,490,1960,490,640,3580,3400,-33.771658,150.844216
Feb 2020,Rooty Hill,2050,260,520,410,400,2020,540,690,3510,3380,-33.771658,150.844216
May 2020,Rooty Hill,430,130,200,180,150,570,300,140,1080,1020,-33.771658,150.844216
Sep 2020,Rooty Hill,910,210,360,310,310,1000,400,330,1980,1850,-33.771658,150.844216
2016,Rosehill,-,-,-,-,-,-,-,-,170,150,-33.823114,151.022086
2017,Rosehill,-,-,-,-,-,-,-,-,190,140,-33.823114,151.022086
2018,Rosehill,-,-,-,-,-,-,-,-,180,140,-33.823114,151.022086
2019,Rosehill,-,-,-,-,-,-,-,-,240,230,-33.823114,151.022086
2016,Roseville,1690,330,490,380,520,1320,150,550,2850,2580,-33.784514,151.177808
2017,Roseville,1760,340,510,440,560,1370,170,600,3000,2750,-33.784514,151.177808
2018,Roseville,1810,300,570,470,520,1410,160,590,3060,2770,-33.784514,151.177808
2019,Roseville,1870,370,520,430,660,1490,190,600,3240,2890,-33.784514,151.177808
Feb 2020,Roseville,1910,340,500,430,650,1500,200,640,3260,2910,-33.784514,151.177808
May 2020,Roseville,190,100,140,140,120,210,60,80,510,530,-33.784514,151.177808
Sep 2020,Roseville,670,250,290,260,430,650,110,220,1500,1380,-33.784514,151.177808
2016,Rydalmere,-,-,-,-,-,-,-,-,160,200,-33.810156,151.029480
2017,Rydalmere,-,-,-,-,-,-,-,-,160,180,-33.810156,151.029480
2018,Rydalmere,-,-,-,-,-,-,-,-,170,210,-33.810156,151.029480
2019,Rydalmere,-,-,-,-,-,-,-,-,200,270,-33.810156,151.029480
Feb 2020,Rydalmere,-,-,-,-,-,-,-,-,80,50,-33.810156,151.029480
Sep 2020,Rydalmere,-,-,-,-,-,-,-,-,60,40,-33.810156,151.029480
2016,Schofields,1060,40,100,90,60,910,80,210,1300,1250,-33.704465,150.873865
2017,Schofields,1420,50,140,110,80,1200,130,280,1770,1640,-33.704465,150.873865
2018,Schofields,1750,60,190,150,120,1520,200,410,2260,2140,-33.704465,150.873865
2019,Schofields,2510,130,260,210,230,2210,310,530,3310,3080,-33.704465,150.873865
Feb 2020,Schofields,2430,140,270,200,220,2040,300,550,3220,2930,-33.704465,150.873865
May 2020,Schofields,300,90,100,80,110,380,130,60,640,610,-33.704465,150.873865
Sep 2020,Schofields,990,120,220,180,170,920,190,240,1570,1460,-33.704465,150.873865
2016,Sefton,-,-,-,-,-,-,-,-,700,550,-33.885313,151.011733
2017,Sefton,350,140,160,100,180,270,40,90,730,600,-33.885313,151.011733
2018,Sefton,400,150,190,120,190,310,40,100,820,680,-33.885313,151.011733
2019,Sefton,400,180,210,100,220,350,70,130,900,760,-33.885313,151.011733
Feb 2020,Sefton,390,160,200,100,240,320,70,140,900,720,-33.885313,151.011733
May 2020,Sefton,-,-,-,-,-,-,-,-,200,290,-33.885313,151.011733
Sep 2020,Sefton,200,110,120,70,160,180,50,50,530,410,-33.885313,151.011733
2016,Seven Hills,3900,760,930,800,980,3270,570,1360,6380,6190,-33.774272,150.935962
2017,Seven Hills,4030,860,1050,880,1150,3630,630,1250,6860,6620,-33.774272,150.935962
2018,Seven Hills,4190,1170,1080,930,1450,3720,790,1310,7510,7130,-33.774272,150.935962
2019,Seven Hills,4360,1410,1190,1020,1760,3900,840,1400,8150,7730,-33.774272,150.935962
Feb 2020,Seven Hills,4050,1190,1010,920,1450,3510,730,1300,7240,6920,-33.774272,150.935962
May 2020,Seven Hills,620,370,380,340,450,750,310,230,1760,1690,-33.774272,150.935962
Sep 2020,Seven Hills,1420,660,640,540,780,1390,450,560,3290,3150,-33.774272,150.935962
2016,Shellharbour Junction,-,-,-,-,-,-,-,-,150,150,-34.591268,150.844735
2017,Shellharbour Junction,-,-,-,-,-,-,-,-,190,190,-34.591268,150.844735
2018,Shellharbour Junction,-,-,-,-,-,-,-,-,190,190,-34.591268,150.844735
2019,Shellharbour Junction,-,-,-,-,-,-,-,-,210,210,-34.591268,150.844735
Feb 2020,Shellharbour Junction,-,-,-,-,-,-,-,-,210,210,-34.591268,150.844735
May 2020,Shellharbour Junction,-,-,-,-,-,-,-,-,50,40,-34.591268,150.844735
Sep 2020,Shellharbour Junction,-,-,-,-,-,-,-,-,80,90,-34.591268,150.844735
2016,Springwood,820,130,160,150,200,780,130,200,1310,1260,-33.699172,150.563508
2017,Springwood,910,120,170,190,210,810,140,210,1430,1330,-33.699172,150.563508
2018,Springwood,860,130,190,180,180,780,160,220,1390,1310,-33.699172,150.563508
2019,Springwood,820,120,170,150,170,770,170,180,1330,1220,-33.699172,150.563508
Feb 2020,Springwood,1430,270,450,510,540,1410,380,480,2800,2670,-33.699172,150.563508
May 2020,Springwood,-,-,-,-,-,-,-,-,260,240,-33.699172,150.563508
Sep 2020,Springwood,280,90,110,90,120,300,80,70,590,550,-33.699172,150.563508
2016,St James,310,6610,1900,2350,6800,1230,1660,320,10670,10510,-33.870347,151.210930
2017,St James,340,7350,2010,2400,7300,1270,1560,330,11210,11350,-33.870347,151.210930
2018,St James,390,7500,2240,2570,7400,1430,1630,390,11660,11890,-33.870347,151.210930
2019,St James,330,7290,2160,2370,7230,1380,1490,390,11210,11430,-33.870347,151.210930
Feb 2020,St James,360,7320,1930,2310,7280,1310,1620,420,11190,11360,-33.870347,151.210930
May 2020,St James,70,1140,460,420,1180,140,170,100,1880,1800,-33.870347,151.210930
Sep 2020,St James,140,2780,960,1050,2820,440,530,160,4450,4430,-33.870347,151.210930
2016,St Leonards,4150,9240,3140,2870,9060,4040,1560,1830,17910,17980,-33.822334,151.193930
2017,St Leonards,4430,9740,3300,2990,9510,4410,1640,1900,18880,19040,-33.822334,151.193930
2018,St Leonards,4570,9740,3320,2910,9410,4510,1630,1910,18930,19070,-33.822334,151.193930
2019,St Leonards,6450,12020,3530,3070,11920,6350,1710,2090,23610,23530,-33.822334,151.193930
Feb 2020,St Leonards,4760,10470,3570,3140,10360,4880,1840,2130,20530,20620,-33.822334,151.193930
May 2020,St Leonards,660,2140,930,860,2080,860,490,400,4160,4260,-33.822334,151.193930
Sep 2020,St Leonards,1820,4750,2000,1720,4650,2170,1000,1000,9470,9640,-33.822334,151.193930
2016,St Marys,2420,800,700,610,860,2370,570,670,4550,4450,-33.762112,150.775004
2017,St Marys,2610,910,780,630,930,2490,570,700,4890,4730,-33.762112,150.775004
2018,St Marys,2640,950,830,680,990,2610,670,720,5130,4960,-33.762112,150.775004
2019,St Marys,2790,1010,870,720,1120,2720,720,800,5500,5250,-33.762112,150.775004
Feb 2020,St Marys,2680,1050,850,750,1160,2650,730,810,5420,5260,-33.762112,150.775004
May 2020,St Marys,550,300,360,310,360,750,390,230,1660,1590,-33.762112,150.775004
Sep 2020,St Marys,1140,770,620,530,790,1290,490,400,3040,2990,-33.762112,150.775004
2016,St Peters,2270,680,510,370,840,1700,280,740,3900,3490,-33.907198,151.180755
2017,St Peters,2510,770,550,400,940,1860,350,830,4350,3860,-33.907198,151.180755
2018,St Peters,2300,690,540,350,910,1770,330,790,4080,3600,-33.907198,151.180755
2019,St Peters,2320,730,580,400,940,1870,380,810,4220,3810,-33.907198,151.180755
Feb 2020,St Peters,2310,590,580,390,870,1800,370,800,4130,3580,-33.907198,151.180755
May 2020,St Peters,310,220,190,130,260,330,100,100,860,780,-33.907198,151.180755
Sep 2020,St Peters,850,350,360,270,490,810,210,330,1910,1760,-33.907198,151.180755
2016,Stanmore,2250,460,540,440,720,1730,210,690,3720,3320,-33.894420,151.164181
2017,Stanmore,2440,520,610,470,840,1980,230,600,4120,3570,-33.894420,151.164181
2018,Stanmore,2490,490,560,400,770,1890,220,680,4040,3460,-33.894420,151.164181
2019,Stanmore,2480,510,540,460,820,1930,270,690,4110,3590,-33.894420,151.164181
Feb 2020,Stanmore,2470,520,570,440,860,1990,290,730,4190,3680,-33.894420,151.164181
May 2020,Stanmore,280,140,190,150,160,310,80,90,710,690,-33.894420,151.164181
Sep 2020,Stanmore,900,330,350,290,510,800,160,280,1920,1700,-33.894420,151.164181
2016,Stanwell Park,-,-,-,-,-,-,-,-,60,60,-34.226164,150.981120
2017,Stanwell Park,-,-,-,-,-,-,-,-,60,60,-34.226164,150.981120
2018,Stanwell Park,-,-,-,-,-,-,-,-,80,90,-34.226164,150.981120
2019,Stanwell Park,-,-,-,-,-,-,-,-,70,80,-34.226164,150.981120
Feb 2020,Stanwell Park,-,-,-,-,-,-,-,-,90,70,-34.226164,150.981120
Sep 2020,Stanwell Park,-,-,-,-,-,-,-,-,60,60,-34.226164,150.981120
2016,Strathfield,8930,4090,4700,3690,5940,8580,2640,5380,22210,21740,-33.871720,151.094300
2017,Strathfield,9460,4410,5090,4070,6400,9290,2890,5690,23840,23460,-33.871720,151.094300
2018,Strathfield,10170,4400,5210,4100,6520,10550,3150,5810,25050,24860,-33.871720,151.094300
2019,Strathfield,10340,4520,5310,4440,7010,10900,3620,6100,26280,25960,-33.871720,151.094300
Feb 2020,Strathfield,10310,4100,4800,4040,6460,10830,3770,6070,25340,25040,-33.871720,151.094300
May 2020,Strathfield,2130,1420,1900,1690,2260,2840,1310,1580,7600,7530,-33.871720,151.094300
Sep 2020,Strathfield,4650,2790,3390,3020,4460,5740,2560,3310,15060,14860,-33.871720,151.094300
2016,Summer Hill,2110,390,640,440,640,1660,240,870,3630,3360,-33.890334,151.138772
2017,Summer Hill,2410,390,670,480,640,1870,220,710,3940,3450,-33.890334,151.138772
2018,Summer Hill,2460,480,620,460,690,1980,270,790,4040,3710,-33.890334,151.138772
2019,Summer Hill,2430,420,640,530,680,2010,310,810,4060,3770,-33.890334,151.138772
Feb 2020,Summer Hill,2480,420,590,470,700,2050,320,880,4090,3820,-33.890334,151.138772
May 2020,Summer Hill,340,160,240,200,210,390,120,100,910,850,-33.890334,151.138772
Sep 2020,Summer Hill,920,300,410,330,430,930,220,320,1980,1880,-33.890334,151.138772
2016,Sutherland,4560,810,1090,1010,1050,4060,650,1270,7350,7150,-34.031699,151.057149
2017,Sutherland,4980,960,1290,1290,1140,4240,700,1330,8110,7820,-34.031699,151.057149
2018,Sutherland,4620,1010,1220,1040,1270,4310,760,1360,7870,7720,-34.031699,151.057149
2019,Sutherland,4500,960,1250,1100,1210,4200,770,1260,7730,7520,-34.031699,151.057149
Feb 2020,Sutherland,4560,1090,1260,1030,1320,4520,840,1400,7980,8040,-34.031699,151.057149
May 2020,Sutherland,660,280,350,370,320,860,370,180,1700,1690,-34.031699,151.057149
Sep 2020,Sutherland,1710,640,800,680,710,1840,520,500,3740,3660,-34.031699,151.057149
2016,Sydenham,2110,1980,1150,840,2160,1890,780,1210,6200,5920,-33.914888,151.166074
2017,Sydenham,2330,1960,1220,860,2190,2120,900,1950,6640,6890,-33.914888,151.166074
2018,Sydenham,2220,2100,1160,880,2350,2060,800,1330,6530,6370,-33.914888,151.166074
2019,Sydenham,2190,2140,1180,930,2410,2020,840,1240,6620,6330,-33.914888,151.166074
Feb 2020,Sydenham,1970,1970,1190,870,2150,1910,990,2040,6300,6790,-33.914888,151.166074
May 2020,Sydenham,420,860,510,430,900,530,310,380,2140,2200,-33.914888,151.166074
Sep 2020,Sydenham,920,1420,850,660,1490,1080,560,580,3820,3740,-33.914888,151.166074
2016,Tahmoor,-,-,-,-,-,-,-,-,160,140,-34.223527,150.590036
2017,Tahmoor,-,-,-,-,-,-,-,-,210,180,-34.223527,150.590036
2018,Tahmoor,-,-,-,-,-,-,-,-,200,170,-34.223527,150.590036
2019,Tahmoor,-,-,-,-,-,-,-,-,190,150,-34.223527,150.590036
Feb 2020,Tahmoor,-,-,-,-,-,-,-,-,170,150,-34.223527,150.590036
May 2020,Tahmoor,-,-,-,-,-,-,-,-,50,50,-34.223527,150.590036
Sep 2020,Tahmoor,-,-,-,-,-,-,-,-,90,80,-34.223527,150.590036
2016,Tascott,-,-,-,-,-,-,-,-,180,170,-33.450861,151.318672
2017,Tascott,-,-,-,-,-,-,-,-,200,180,-33.450861,151.318672
2018,Tascott,-,-,-,-,-,-,-,-,200,160,-33.450861,151.318672
2019,Tascott,-,-,-,-,-,-,-,-,190,150,-33.450861,151.318672
Feb 2020,Tascott,-,-,-,-,-,-,-,-,170,130,-33.450861,151.318672
Sep 2020,Tascott,-,-,-,-,-,-,-,-,80,60,-33.450861,151.318672
2016,Telarah,-,-,-,-,-,-,-,-,140,120,-32.723305,151.539891
2017,Telarah,-,-,-,-,-,-,-,-,170,130,-32.723305,151.539891
2018,Telarah,-,-,-,-,-,-,-,-,170,160,-32.723305,151.539891
2019,Telarah,-,-,-,-,-,-,-,-,190,150,-32.723305,151.539891
Feb 2020,Telarah,-,-,-,-,-,-,-,-,170,150,-32.723305,151.539891
May 2020,Telarah,-,-,-,-,-,-,-,-,50,50,-32.723305,151.539891
2016,Telopea,-,-,-,-,-,-,-,-,300,240,-33.794193,151.041430
2017,Telopea,-,-,-,-,-,-,-,-,310,230,-33.794193,151.041430
2018,Telopea,-,-,-,-,-,-,-,-,320,230,-33.794193,151.041430
2019,Telopea,-,-,-,-,-,-,-,-,290,240,-33.794193,151.041430
Feb 2020,Telopea,-,-,-,-,-,-,-,-,160,120,-33.794193,151.041430
May 2020,Telopea,-,-,-,-,-,-,-,-,40,40,-33.794193,151.041430
Sep 2020,Telopea,-,-,-,-,-,-,-,-,70,50,-33.794193,151.041430
2016,Tempe,950,310,200,140,340,780,80,270,1570,1500,-33.923779,151.156604
2017,Tempe,990,340,240,150,380,850,90,310,1700,1650,-33.923779,151.156604
2018,Tempe,980,350,220,150,400,840,100,270,1700,1610,-33.923779,151.156604
2019,Tempe,1020,340,200,140,370,870,90,240,1680,1590,-33.923779,151.156604
Feb 2020,Tempe,970,350,210,130,370,830,110,280,1660,1590,-33.923779,151.156604
May 2020,Tempe,-,-,-,-,-,-,-,-,360,350,-33.923779,151.156604
Sep 2020,Tempe,380,200,130,90,240,380,50,100,800,770,-33.923779,151.156604
2016,Thirroul,670,50,150,150,90,530,120,250,1030,980,-34.317925,150.919086
2017,Thirroul,750,50,180,150,110,630,130,300,1170,1130,-34.317925,150.919086
2018,Thirroul,790,70,180,150,110,660,140,300,1220,1180,-34.317925,150.919086
2019,Thirroul,780,60,160,150,120,700,150,280,1210,1190,-34.317925,150.919086
Feb 2020,Thirroul,770,60,170,150,140,650,160,320,1240,1180,-34.317925,150.919086
May 2020,Thirroul,-,-,-,-,-,-,-,-,200,210,-34.317925,150.919086
Sep 2020,Thirroul,260,50,90,80,70,250,80,70,500,450,-34.317925,150.919086
2016,Thornleigh,1470,170,280,220,270,1220,110,430,2130,2040,-33.732002,151.078275
2017,Thornleigh,1520,190,290,260,280,1310,140,420,2230,2180,-33.732002,151.078275
2018,Thornleigh,1470,200,310,260,280,1230,140,430,2200,2120,-33.732002,151.078275
2019,Thornleigh,1300,220,340,250,310,1100,140,410,2090,1980,-33.732002,151.078275
Feb 2020,Thornleigh,1230,220,280,240,320,980,140,420,1970,1860,-33.732002,151.078275
May 2020,Thornleigh,140,80,90,80,90,140,50,50,370,350,-33.732002,151.078275
Sep 2020,Thornleigh,410,140,180,160,170,390,80,130,840,820,-33.732002,151.078275
2016,Thornton,-,-,-,-,-,-,-,-,190,160,-32.783567,151.639974
2017,Thornton,-,-,-,-,-,-,-,-,190,190,-32.783567,151.639974
2018,Thornton,-,-,-,-,-,-,-,-,260,240,-32.783567,151.639974
2019,Thornton,-,-,-,-,-,-,-,-,250,230,-32.783567,151.639974
Feb 2020,Thornton,-,-,-,-,-,-,-,-,260,240,-32.783567,151.639974
May 2020,Thornton,-,-,-,-,-,-,-,-,40,40,-32.783567,151.639974
2016,Toongabbie,1580,200,410,320,330,1320,200,510,2520,2350,-33.787071,150.951387
2017,Toongabbie,1670,230,470,380,340,1440,220,480,2700,2530,-33.787071,150.951387
2018,Toongabbie,1790,250,510,390,380,1620,230,550,2910,2810,-33.787071,150.951387
2019,Toongabbie,2080,260,610,470,500,1920,280,660,3470,3310,-33.787071,150.951387
Feb 2020,Toongabbie,2080,260,570,480,480,1880,320,660,3450,3280,-33.787071,150.951387
May 2020,Toongabbie,360,120,260,200,190,410,140,150,950,880,-33.787071,150.951387
Sep 2020,Toongabbie,800,220,360,320,340,770,200,290,1700,1600,-33.787071,150.951387
2016,Town Hall,7360,51590,18710,24020,54300,21190,24010,7100,104380,103900,-33.873574,151.206733
2017,Town Hall,7480,54090,18940,24270,56640,21840,24570,7030,107630,107230,-33.873574,151.206733
2018,Town Hall,7550,58060,19410,25400,60180,23110,25850,7250,112990,113820,-33.873574,151.206733
2019,Town Hall,7590,58780,20120,26420,62020,23460,25830,7230,115560,115890,-33.873574,151.206733
Feb 2020,Town Hall,7530,57600,18740,23820,59320,21490,24220,7400,109810,110310,-33.873574,151.206733
May 2020,Town Hall,1830,7840,4650,4970,9360,3560,2530,1710,18370,18080,-33.873574,151.206733
Sep 2020,Town Hall,3870,18000,9150,11280,21280,9210,8550,3810,42850,42300,-33.873574,151.206733
2016,Towradgi,-,-,-,-,-,-,-,-,90,80,-34.384105,150.901513
2017,Towradgi,-,-,-,-,-,-,-,-,80,80,-34.384105,150.901513
2018,Towradgi,-,-,-,-,-,-,-,-,90,100,-34.384105,150.901513
2019,Towradgi,-,-,-,-,-,-,-,-,110,80,-34.384105,150.901513
Feb 2020,Towradgi,-,-,-,-,-,-,-,-,100,90,-34.384105,150.901513
2016,Tuggerah,720,160,190,190,180,730,250,270,1340,1350,-33.307661,151.420238
2017,Tuggerah,770,170,210,220,190,790,280,240,1450,1420,-33.307661,151.420238
2018,Tuggerah,810,170,210,210,220,800,300,240,1540,1420,-33.307661,151.420238
2019,Tuggerah,740,220,220,230,240,740,310,280,1510,1470,-33.307661,151.420238
Feb 2020,Tuggerah,650,190,200,230,230,710,310,230,1390,1360,-33.307661,151.420238
May 2020,Tuggerah,80,60,60,60,60,140,110,40,310,300,-33.307661,151.420238
Sep 2020,Tuggerah,230,150,130,140,150,290,150,90,660,670,-33.307661,151.420238
2016,Turramurra,2770,420,730,500,600,2350,160,840,4260,4110,-33.732734,151.128878
2017,Turramurra,3020,470,760,550,640,2480,190,860,4610,4360,-33.732734,151.128878
2018,Turramurra,3030,540,760,580,700,2490,210,860,4700,4470,-33.732734,151.128878
2019,Turramurra,3090,540,780,590,760,2590,240,870,4870,4590,-33.732734,151.128878
Feb 2020,Turramurra,3140,450,800,580,720,2710,290,890,4950,4630,-33.732734,151.128878
May 2020,Turramurra,260,150,190,180,160,300,90,70,700,700,-33.732734,151.128878
Sep 2020,Turramurra,1060,310,460,340,430,1050,150,280,2100,1980,-33.732734,151.128878
2016,Turrella,690,100,260,110,200,500,100,400,1250,1110,-33.929774,151.140428
2017,Turrella,700,90,230,130,190,510,110,370,1230,1100,-33.929774,151.140428
2018,Turrella,710,90,250,150,190,530,110,360,1260,1130,-33.929774,151.140428
2019,Turrella,740,100,260,170,220,550,140,400,1360,1220,-33.929774,151.140428
Feb 2020,Turrella,680,110,230,170,200,560,150,360,1260,1200,-33.929774,151.140428
May 2020,Turrella,160,50,110,80,80,190,70,60,420,380,-33.929774,151.140428
Sep 2020,Turrella,320,80,170,110,120,300,100,160,710,650,-33.929774,151.140428
2016,Unanderra,240,50,70,60,60,200,60,100,430,410,-34.454966,150.845789
2017,Unanderra,270,50,80,60,70,230,70,120,490,460,-34.454966,150.845789
2018,Unanderra,260,60,80,70,60,230,90,100,490,460,-34.454966,150.845789
2019,Unanderra,280,60,80,70,80,240,100,110,540,480,-34.454966,150.845789
Feb 2020,Unanderra,260,60,80,60,80,200,90,120,510,440,-34.454966,150.845789
May 2020,Unanderra,-,-,-,-,-,-,-,-,140,110,-34.454966,150.845789
Sep 2020,Unanderra,100,40,50,40,50,90,50,50,250,220,-34.454966,150.845789
2016,Valley Heights,-,-,-,-,-,-,-,-,100,80,-33.703962,150.583930
2017,Valley Heights,-,-,-,-,-,-,-,-,100,80,-33.703962,150.583930
2018,Valley Heights,-,-,-,-,-,-,-,-,110,100,-33.703962,150.583930
2019,Valley Heights,-,-,-,-,-,-,-,-,110,90,-33.703962,150.583930
Feb 2020,Valley Heights,-,-,-,-,-,-,-,-,120,110,-33.703962,150.583930
2016,Victoria Street,-,-,-,-,-,-,-,-,310,270,-32.751045,151.593967
2017,Victoria Street,-,-,-,-,-,-,-,-,340,310,-32.751045,151.593967
2018,Victoria Street,-,-,-,-,-,-,-,-,380,340,-32.751045,151.593967
2019,Victoria Street,-,-,-,-,-,-,-,-,440,380,-32.751045,151.593967
Feb 2020,Victoria Street,-,-,-,-,-,-,-,-,400,350,-32.751045,151.593967
May 2020,Victoria Street,-,-,-,-,-,-,-,-,80,80,-32.751045,151.593967
Sep 2020,Victoria Street,-,-,-,-,-,-,-,-,80,50,-32.751045,151.593967
2016,Villawood,-,-,-,-,-,-,-,-,500,460,-33.880831,150.977355
2017,Villawood,240,120,120,120,140,190,40,70,540,500,-33.880831,150.977355
2018,Villawood,240,110,120,80,140,210,50,90,550,490,-33.880831,150.977355
2019,Villawood,240,110,130,110,160,220,50,110,580,550,-33.880831,150.977355
Feb 2020,Villawood,230,100,100,90,130,210,50,90,510,490,-33.880831,150.977355
May 2020,Villawood,-,-,-,-,-,-,-,-,220,210,-33.880831,150.977355
Sep 2020,Villawood,110,90,80,80,120,120,40,40,350,330,-33.880831,150.977355
2016,Vineyard,-,-,-,-,-,-,-,-,110,90,-33.650188,150.851063
2017,Vineyard,-,-,-,-,-,-,-,-,110,120,-33.650188,150.851063
2018,Vineyard,-,-,-,-,-,-,-,-,140,140,-33.650188,150.851063
2019,Vineyard,-,-,-,-,-,-,-,-,140,150,-33.650188,150.851063
Feb 2020,Vineyard,-,-,-,-,-,-,-,-,120,130,-33.650188,150.851063
May 2020,Vineyard,-,-,-,-,-,-,-,-,40,40,-33.650188,150.851063
Sep 2020,Vineyard,-,-,-,-,-,-,-,-,60,70,-33.650188,150.851063
2016,Wahroonga,1210,400,310,300,470,950,100,330,2090,1980,-33.718002,151.117518
2017,Wahroonga,1330,420,330,320,500,1020,120,370,2280,2130,-33.718002,151.117518
2018,Wahroonga,1390,470,390,360,620,1080,120,360,2520,2270,-33.718002,151.117518
2019,Wahroonga,1420,500,350,380,660,1190,150,350,2580,2420,-33.718002,151.117518
Feb 2020,Wahroonga,1400,480,350,360,660,1190,180,370,2590,2400,-33.718002,151.117518
May 2020,Wahroonga,-,-,-,-,-,-,-,-,360,350,-33.718002,151.117518
Sep 2020,Wahroonga,420,290,210,200,370,430,110,110,1110,1030,-33.718002,151.117518
